n,category,domain,algorithm,avg_time_ms,avg_memory_bytes,runs
16,densa,D0,Naive,0.0027266666666666667,1472.0,3
16,densa,D0,Strassen,1.1387,21856.0,3
16,densa,D10,Naive,0.0028933333333333333,1472.0,3
16,densa,D10,Strassen,1.1431833333333332,21856.0,3
16,diagonal,D0,Naive,0.0026033333333333334,1472.0,3
16,diagonal,D0,Strassen,1.1302333333333332,21856.0,3
16,diagonal,D10,Naive,0.0027333333333333337,1472.0,3
16,diagonal,D10,Strassen,1.1448466666666668,21856.0,3
16,dispersa,D0,Naive,0.002716666666666667,1472.0,3
16,dispersa,D0,Strassen,1.1420633333333334,21856.0,3
16,dispersa,D10,Naive,0.002773333333333334,1472.0,3
16,dispersa,D10,Strassen,1.16831,21856.0,3
64,densa,D0,Naive,0.12879700000000002,18176.0,3
64,densa,D0,Strassen,54.368066666666664,236128.0,3
64,densa,D10,Naive,0.12685433333333332,18176.0,3
64,densa,D10,Strassen,54.19283333333333,236128.0,3
64,diagonal,D0,Naive,0.126311,18176.0,3
64,diagonal,D0,Strassen,54.65266666666667,236128.0,3
64,diagonal,D10,Naive,0.12588733333333332,18176.0,3
64,diagonal,D10,Strassen,54.34166666666667,236128.0,3
64,dispersa,D0,Naive,0.12722433333333336,18176.0,3
64,dispersa,D0,Strassen,54.5161,236128.0,3
64,dispersa,D10,Naive,0.12437733333333334,18176.0,3
64,dispersa,D10,Strassen,55.105266666666665,236128.0,3
256,densa,D0,Naive,9.154266666666667,269312.0,3
256,densa,D0,Strassen,2596.39,3305056.0,3
256,densa,D10,Naive,9.23477,269312.0,3
256,densa,D10,Strassen,2608.733333333333,3305056.0,3
256,diagonal,D0,Naive,9.199673333333333,269312.0,3
256,diagonal,D0,Strassen,2592.4066666666663,3305056.0,3
256,diagonal,D10,Naive,9.04922,269312.0,3
256,diagonal,D10,Strassen,2592.9833333333336,3305056.0,3
256,dispersa,D0,Naive,8.785743333333334,269312.0,3
256,dispersa,D0,Strassen,2599.7766666666666,3305056.0,3
256,dispersa,D10,Naive,9.33543,269312.0,3
256,dispersa,D10,Strassen,2581.1066666666666,3305056.0,3
